t1,Portfolio,Benchmark
2010-02-26,0.0419,0.0285
2010-03-31,0.1157,0.0889
2010-04-30,0.1338,0.1048
2010-06-30,0.0710,0.0452
2010-07-30,0.1510,0.1170
2010-08-31,0.1438,0.0639
2010-09-30,0.2211,0.1569
2010-10-29,0.2636,0.1994
2010-11-30,0.2587,0.1966
2010-12-31,0.3064,0.2746
2011-01-31,0.3198,0.3033
2011-02-28,0.3899,0.3448
2011-03-31,0.4132,0.3433
2011-04-29,0.4919,0.3816
2011-05-31,0.4631,0.3629
2011-06-30,0.4308,0.3380
2011-07-29,0.4116,0.3093
2011-08-31,0.3062,0.2348
2011-09-30,0.2120,0.1462
2011-10-31,0.2847,0.2697
2011-11-30,0.3062,0.2633
2011-12-30,0.3280,0.2740
2012-01-31,0.2994,0.3296
2012-02-29,0.3273,0.3835
2012-03-30,0.3620,0.4269
2012-04-30,0.3453,0.4162
2012-05-31,0.2676,0.3273
2012-06-29,0.3234,0.3798
2012-07-31,0.3031,0.3972
2012-08-31,0.3640,0.4247
2012-09-28,0.3936,0.4591
2012-10-31,0.4717,0.4300
2012-11-30,0.5226,0.4340
2012-12-31,0.5464,0.4440
2013-01-31,0.6499,0.5168
2013-02-28,0.7031,0.5335
2013-04-30,0.6647,0.5613
2013-05-31,0.7738,0.5937
2013-06-28,0.7575,0.5698
2013-07-31,0.8912,0.6474
2013-08-30,0.8194,0.5959
2013-09-30,0.9338,0.6434
2013-10-31,1.0449,0.7166
2013-11-29,1.1809,0.7648
2013-12-31,1.2049,0.8064
2014-01-31,1.2132,0.7421
2014-02-28,1.3875,0.8172
2014-03-31,1.4055,0.8298
2014-04-30,1.4024,0.8412
2014-05-30,1.5057,0.8799
2014-06-30,1.4954,0.9157
2014-07-31,1.3979,0.8868
2014-08-29,1.4683,0.9579
2014-09-30,1.4005,0.9275
2014-10-31,1.4552,0.9722
2014-11-28,1.5055,1.0206
2014-12-31,1.6164,1.0121
2015-01-30,1.4804,0.9497
2015-02-27,1.7128,1.0567
2015-03-31,1.7020,1.0209
2015-04-30,1.6708,1.0381
2015-05-29,1.6922,1.0595
2015-06-30,1.7857,1.0162
2015-07-31,1.8003,1.0561
2015-08-31,1.6489,0.9274
2015-09-30,1.6180,0.8764
2015-10-30,1.7664,1.0321
2015-11-30,1.7649,1.0332
2015-12-31,1.6985,0.9973
2016-01-29,1.6403,0.8958
2016-02-29,1.6407,0.8876
2016-03-31,1.7882,1.0118
2016-04-29,1.7692,1.0170
2016-05-31,1.8106,1.0477
2016-06-30,1.9194,1.0491
2016-07-29,1.9627,1.1217
2016-08-31,1.8792,1.1187
2016-09-30,1.9048,1.1157
2016-10-31,1.8763,1.0741
2016-11-30,2.2046,1.1448
2016-12-30,2.1350,1.1832
2017-01-31,2.2892,1.2214
2017-02-28,2.3653,1.3031
2017-03-31,2.3488,1.3015
2017-04-28,2.3418,1.3213
2017-05-31,2.3467,1.3468
2017-06-30,2.5015,1.3567
2017-07-31,2.7467,1.4006
2017-08-31,2.5687,1.3998
2017-09-29,2.8607,1.4439
2017-10-31,3.0243,1.4960
2017-11-30,3.2534,1.5641
2017-12-29,3.0747,1.5870
2018-01-31,2.9297,1.7292
2018-02-28,2.8106,1.6199
2018-04-30,2.8449,1.6233
2018-05-31,2.9209,1.6764
2018-06-29,3.1120,1.6856
2018-07-31,3.1645,1.7780
2018-08-31,3.4276,1.8576
2018-09-28,3.4122,1.8656
2018-10-31,3.2928,1.6613
2018-11-30,3.4701,1.7040
2018-12-31,3.1052,1.4505
2019-01-31,3.2162,1.6381
2019-02-28,3.2634,1.7118
2019-03-29,2.9467,1.7553
2019-04-30,3.0292,1.8578
2019-05-31,2.8677,1.6638
2019-06-28,3.1032,1.8426
2019-07-31,3.1675,1.8745
2019-08-30,3.1904,1.8179
2019-09-30,3.3007,1.8613
2019-10-31,3.6492,1.9152
2019-11-29,3.5916,2.0109
2019-12-31,3.5714,2.0928
2020-01-31,3.8351,2.0837
2020-02-28,3.5898,1.8207
2020-03-31,2.1051,1.4641
2020-04-30,2.3176,1.7766
2020-05-29,2.4578,1.9021
2020-06-30,2.4922,1.9552
2020-07-31,2.6061,2.1177
2020-08-31,2.6679,2.3358
2020-09-30,2.5464,2.2046
2020-10-30,2.5694,2.1157
2020-11-30,2.8050,2.4504
2020-12-31,2.8647,2.5782
2021-01-29,3.0318,2.5379
2021-02-26,2.8838,2.6303
2021-03-31,3.2493,2.7843
2021-04-30,3.5033,2.9827
2021-06-30,3.3407,3.0712
2021-07-30,3.3731,3.1638
2021-08-31,3.3216,3.2845
2021-09-30,3.0011,3.0807
2021-10-29,3.0725,3.3628
2021-11-30,3.0689,3.3265
2021-12-31,3.2199,3.5147
2022-01-31,3.1537,3.2773
2022-02-28,3.1363,3.1432
2022-03-31,3.3049,3.2910
2022-04-29,3.1502,2.9131
2022-05-31,3.4398,2.9122
2022-06-30,2.7245,2.5815
2022-07-29,2.9043,2.9050
2022-08-31,2.7213,2.7318
2022-09-30,2.6143,2.3762
2022-10-31,3.0565,2.6381
2022-11-30,3.2198,2.8231
2022-12-30,2.9571,2.5850
2023-01-31,3.2992,2.7939
2023-02-28,3.1431,2.6819
2023-03-31,2.9752,2.7977
2023-04-28,2.8360,2.8400
2023-05-31,2.7580,2.8357
2023-06-30,3.1519,3.0687
2023-07-31,3.3766,3.1770
2023-08-31,3.0516,3.0842
2023-09-29,2.9447,2.8677
2023-10-31,2.8129,2.7645
2023-11-30,3.2225,3.0837
2023-12-29,3.4987,3.2467
