t1,Portfolio,Benchmark
2010-02-26,0.0399,0.0285
2010-03-31,0.1125,0.0889
2010-04-30,0.1434,0.1048
2010-06-30,0.0844,0.0452
2010-07-30,0.1340,0.1170
2010-08-31,0.0667,0.0639
2010-09-30,0.1913,0.1569
2010-10-29,0.2150,0.1994
2010-11-30,0.2225,0.1966
2010-12-31,0.3178,0.2746
2011-01-31,0.3792,0.3033
2011-02-28,0.4498,0.3448
2011-03-31,0.4894,0.3433
2011-04-29,0.5350,0.3816
2011-05-31,0.5525,0.3629
2011-06-30,0.5324,0.3380
2011-07-29,0.4724,0.3093
2011-08-31,0.4024,0.2348
2011-09-30,0.2649,0.1462
2011-10-31,0.4601,0.2697
2011-11-30,0.4754,0.2633
2011-12-30,0.4904,0.2740
2012-01-31,0.5934,0.3296
2012-02-29,0.6729,0.3835
2012-03-30,0.7237,0.4269
2012-04-30,0.7329,0.4162
2012-05-31,0.6300,0.3273
2012-06-29,0.6857,0.3798
2012-07-31,0.6539,0.3972
2012-08-31,0.7230,0.4247
2012-09-28,0.7730,0.4591
2012-10-31,0.7828,0.4300
2012-11-30,0.8403,0.4340
2012-12-31,0.8679,0.4440
2013-01-31,0.9894,0.5168
2013-02-28,1.0137,0.5335
2013-04-30,1.0367,0.5613
2013-05-31,1.0819,0.5937
2013-06-28,1.0668,0.5698
2013-07-31,1.2112,0.6474
2013-08-30,1.1474,0.5959
2013-09-30,1.2610,0.6434
2013-10-31,1.3315,0.7166
2013-11-29,1.4260,0.7648
2013-12-31,1.5142,0.8064
2014-01-31,1.4502,0.7421
2014-02-28,1.5752,0.8172
2014-03-31,1.5978,0.8298
2014-04-30,1.5819,0.8412
2014-05-30,1.6773,0.8799
2014-06-30,1.7368,0.9157
2014-07-31,1.6650,0.8868
2014-08-29,1.7940,0.9579
2014-09-30,1.7506,0.9275
2014-10-31,1.8932,0.9722
2014-11-28,1.9955,1.0206
2014-12-31,2.0099,1.0121
2015-01-30,1.9081,0.9497
2015-02-27,2.1078,1.0567
2015-03-31,2.1070,1.0209
2015-04-30,2.1184,1.0381
2015-05-29,2.1996,1.0595
2015-06-30,2.1912,1.0162
2015-07-31,2.2845,1.0561
2015-08-31,2.1165,0.9274
2015-09-30,2.0023,0.8764
2015-10-30,2.2701,1.0321
2015-11-30,2.3146,1.0332
2015-12-31,2.2225,0.9973
2016-01-29,2.0704,0.8958
2016-02-29,2.1236,0.8876
2016-03-31,2.3787,1.0118
2016-04-29,2.4155,1.0170
2016-05-31,2.5176,1.0477
2016-06-30,2.5005,1.0491
2016-07-29,2.6249,1.1217
2016-08-31,2.6384,1.1187
2016-09-30,2.6596,1.1157
2016-10-31,2.5402,1.0741
2016-11-30,2.7526,1.1448
2016-12-30,2.8052,1.1832
2017-01-31,2.9053,1.2214
2017-02-28,3.0653,1.3031
2017-03-31,3.0850,1.3015
2017-04-28,3.1371,1.3213
2017-05-31,3.2102,1.3468
2017-06-30,3.3215,1.3567
2017-07-31,3.3962,1.4006
2017-08-31,3.4734,1.3998
2017-09-29,3.6515,1.4439
2017-10-31,3.7751,1.4960
2017-11-30,4.0683,1.5641
2017-12-29,4.1161,1.5870
2018-01-31,4.3655,1.7292
2018-02-28,4.1508,1.6199
2018-04-30,4.1402,1.6233
2018-05-31,4.2224,1.6764
2018-06-29,4.2334,1.6856
2018-07-31,4.5056,1.7780
2018-08-31,4.7562,1.8576
2018-09-28,4.7742,1.8656
2018-10-31,4.3418,1.6613
2018-11-30,4.5833,1.7040
2018-12-31,4.0584,1.4505
2019-01-31,4.5155,1.6381
2019-02-28,4.8612,1.7118
2019-03-29,5.0195,1.7553
2019-04-30,5.3752,1.8578
2019-05-31,5.0561,1.6638
2019-06-28,5.5008,1.8426
2019-07-31,5.6254,1.8745
2019-08-30,5.6320,1.8179
2019-09-30,5.7280,1.8613
2019-10-31,5.7788,1.9152
2019-11-29,5.9450,2.0109
2019-12-31,6.0451,2.0928
2020-01-31,6.1347,2.0837
2020-02-28,5.5916,1.8207
2020-03-31,4.6083,1.4641
2020-04-30,5.3140,1.7766
2020-05-29,5.7348,1.9021
2020-06-30,5.7191,1.9552
2020-07-31,6.1643,2.1177
2020-08-31,6.6007,2.3358
2020-09-30,6.4365,2.2046
2020-10-30,6.3837,2.1157
2020-11-30,7.0612,2.4504
2020-12-31,7.4141,2.5782
2021-01-29,7.2415,2.5379
2021-02-26,7.2463,2.6303
2021-03-31,7.8018,2.7843
2021-04-30,8.3418,2.9827
2021-06-30,8.3550,3.0712
2021-07-30,8.6592,3.1638
2021-08-31,8.9261,3.2845
2021-09-30,8.4782,3.0807
2021-10-29,9.2756,3.3628
2021-11-30,9.1407,3.3265
2021-12-31,9.7306,3.5147
2022-01-31,8.8564,3.2773
2022-02-28,8.5290,3.1432
2022-03-31,8.9104,3.2910
2022-04-29,8.2033,2.9131
2022-05-31,8.1113,2.9122
2022-06-30,7.6104,2.5815
2022-07-29,8.6054,2.9050
2022-08-31,8.1881,2.7318
2022-09-30,7.4248,2.3762
2022-10-31,8.1504,2.6381
2022-11-30,8.9503,2.8231
2022-12-30,8.4845,2.5850
2023-01-31,8.9741,2.7939
2023-02-28,8.7790,2.6819
2023-03-31,8.8382,2.7977
2023-04-28,8.9046,2.8400
2023-05-31,8.5998,2.8357
2023-06-30,9.1732,3.0687
2023-07-31,9.4420,3.1770
2023-08-31,9.2684,3.0842
2023-09-29,8.7156,2.8677
2023-10-31,8.3257,2.7645
2023-11-30,9.2220,3.0837
2023-12-29,9.8321,3.2467
