t1,Portfolio,Benchmark
2010-02-26,0.0194,0.0285
2010-03-31,0.0788,0.0889
2010-04-30,0.0951,0.1048
2010-06-30,0.0331,0.0452
2010-07-30,0.0748,0.1170
2010-08-31,0.0167,0.0639
2010-09-30,0.1330,0.1569
2010-10-29,0.1555,0.1994
2010-11-30,0.1695,0.1966
2010-12-31,0.2385,0.2746
2011-01-31,0.2792,0.3033
2011-02-28,0.3874,0.3448
2011-03-31,0.4334,0.3433
2011-04-29,0.4726,0.3816
2011-05-31,0.4845,0.3629
2011-06-30,0.4828,0.3380
2011-07-29,0.4207,0.3093
2011-08-31,0.3779,0.2348
2011-09-30,0.2651,0.1462
2011-10-31,0.4595,0.2697
2011-11-30,0.4582,0.2633
2011-12-30,0.4685,0.2740
2012-01-31,0.4820,0.3296
2012-02-29,0.5823,0.3835
2012-03-30,0.6315,0.4269
2012-04-30,0.6394,0.4162
2012-05-31,0.6148,0.3273
2012-06-29,0.7068,0.3798
2012-07-31,0.6324,0.3972
2012-08-31,0.6631,0.4247
2012-09-28,0.6846,0.4591
2012-10-31,0.4850,0.4300
2012-11-30,0.5654,0.4340
2012-12-31,0.5504,0.4440
2013-01-31,0.6926,0.5168
2013-02-28,0.7298,0.5335
2013-04-30,0.7986,0.5613
2013-05-31,0.6871,0.5937
2013-06-28,0.6424,0.5698
2013-07-31,0.7373,0.6474
2013-08-30,0.6603,0.5959
2013-09-30,0.8221,0.6434
2013-10-31,0.8871,0.7166
2013-11-29,0.9303,0.7648
2013-12-31,1.0217,0.8064
2014-01-31,0.9656,0.7421
2014-02-28,1.0933,0.8172
2014-03-31,1.0734,0.8298
2014-04-30,1.0746,0.8412
2014-05-30,1.1028,0.8799
2014-06-30,1.1535,0.9157
2014-07-31,0.9829,0.8868
2014-08-29,1.1123,0.9579
2014-09-30,1.1090,0.9275
2014-10-31,1.2065,0.9722
2014-11-28,1.2580,1.0206
2014-12-31,1.2793,1.0121
2015-01-30,1.2272,0.9497
2015-02-27,1.3338,1.0567
2015-03-31,1.3679,1.0209
2015-04-30,1.3636,1.0381
2015-05-29,1.4485,1.0595
2015-06-30,1.4087,1.0162
2015-07-31,1.6039,1.0561
2015-08-31,1.5210,0.9274
2015-09-30,1.5890,0.8764
2015-10-30,1.9043,1.0321
2015-11-30,1.9243,1.0332
2015-12-31,1.8569,0.9973
2016-01-29,1.6821,0.8958
2016-02-29,1.6983,0.8876
2016-03-31,1.8421,1.0118
2016-04-29,1.8497,1.0170
2016-05-31,1.8824,1.0477
2016-06-30,1.9712,1.0491
2016-07-29,1.9414,1.1217
2016-08-31,1.9345,1.1187
2016-09-30,1.9916,1.1157
2016-10-31,2.0763,1.0741
2016-11-30,1.9344,1.1448
2016-12-30,1.9909,1.1832
2017-01-31,2.0385,1.2214
2017-02-28,2.1796,1.3031
2017-03-31,2.2074,1.3015
2017-04-28,2.1657,1.3213
2017-05-31,2.2003,1.3468
2017-06-30,2.3704,1.3567
2017-07-31,2.4499,1.4006
2017-08-31,2.4984,1.3998
2017-09-29,2.6099,1.4439
2017-10-31,2.7888,1.4960
2017-11-30,2.9197,1.5641
2017-12-29,2.9605,1.5870
2018-01-31,2.9912,1.7292
2018-02-28,2.8575,1.6199
2018-04-30,2.7115,1.6233
2018-05-31,2.7122,1.6764
2018-06-29,2.8637,1.6856
2018-07-31,2.9959,1.7780
2018-08-31,3.0254,1.8576
2018-09-28,3.0403,1.8656
2018-10-31,2.7970,1.6613
2018-11-30,3.0899,1.7040
2018-12-31,2.7493,1.4505
2019-01-31,3.1489,1.6381
2019-02-28,3.1937,1.7118
2019-03-29,3.2634,1.7553
2019-04-30,3.8968,1.8578
2019-05-31,3.8290,1.6638
2019-06-28,4.2083,1.8426
2019-07-31,4.2299,1.8745
2019-08-30,4.3638,1.8179
2019-09-30,4.1781,1.8613
2019-10-31,3.9589,1.9152
2019-11-29,4.1521,2.0109
2019-12-31,4.3881,2.0928
2020-01-31,4.3999,2.0837
2020-02-28,3.9388,1.8207
2020-03-31,3.9188,1.4641
2020-04-30,3.9960,1.7766
2020-05-29,4.4670,1.9021
2020-06-30,4.6220,1.9552
2020-07-31,5.1111,2.1177
2020-08-31,5.4227,2.3358
2020-09-30,5.2450,2.2046
2020-10-30,5.0628,2.1157
2020-11-30,5.5159,2.4504
2020-12-31,5.5379,2.5782
2021-01-29,5.5093,2.5379
2021-02-26,5.3395,2.6303
2021-03-31,5.4609,2.7843
2021-04-30,5.4906,2.9827
2021-06-30,5.5291,3.0712
2021-07-30,5.2468,3.1638
2021-08-31,5.3475,3.2845
2021-09-30,5.1395,3.0807
2021-10-29,5.4984,3.3628
2021-11-30,4.9616,3.3265
2021-12-31,5.6100,3.5147
2022-01-31,5.1656,3.2773
2022-02-28,5.1140,3.1432
2022-03-31,5.4063,3.2910
2022-04-29,5.3205,2.9131
2022-05-31,5.4537,2.9122
2022-06-30,5.4502,2.5815
2022-07-29,5.8697,2.9050
2022-08-31,5.7560,2.7318
2022-09-30,5.5309,2.3762
2022-10-31,6.2189,2.6381
2022-11-30,6.6966,2.8231
2022-12-30,6.3017,2.5850
2023-01-31,6.9619,2.7939
2023-02-28,6.9058,2.6819
2023-03-31,6.4892,2.7977
2023-04-28,6.1838,2.8400
2023-05-31,5.7301,2.8357
2023-06-30,5.5271,3.0687
2023-07-31,5.4921,3.1770
2023-08-31,6.1458,3.0842
2023-09-29,5.8014,2.8677
2023-10-31,5.3207,2.7645
2023-11-30,5.5849,3.0837
2023-12-29,5.7076,3.2467
