t1,Portfolio,Benchmark
2010-02-26,0.0553,0.0285
2010-03-31,0.1437,0.0889
2010-04-30,0.1806,0.1048
2010-06-30,0.1110,0.0452
2010-07-30,0.1743,0.1170
2010-08-31,0.1313,0.0639
2010-09-30,0.2224,0.1569
2010-10-29,0.2649,0.1994
2010-11-30,0.2867,0.1966
2010-12-31,0.3755,0.2746
2011-01-31,0.3800,0.3033
2011-02-28,0.4634,0.3448
2011-03-31,0.4756,0.3433
2011-04-29,0.5071,0.3816
2011-05-31,0.4783,0.3629
2011-06-30,0.4434,0.3380
2011-07-29,0.3824,0.3093
2011-08-31,0.2749,0.2348
2011-09-30,0.1484,0.1462
2011-10-31,0.2917,0.2697
2011-11-30,0.2969,0.2633
2011-12-30,0.3024,0.2740
2012-01-31,0.3228,0.3296
2012-02-29,0.3618,0.3835
2012-03-30,0.3942,0.4269
2012-04-30,0.3495,0.4162
2012-05-31,0.2395,0.3273
2012-06-29,0.2906,0.3798
2012-07-31,0.2575,0.3972
2012-08-31,0.3324,0.4247
2012-09-28,0.3780,0.4591
2012-10-31,0.3896,0.4300
2012-11-30,0.4130,0.4340
2012-12-31,0.4578,0.4440
2013-01-31,0.5869,0.5168
2013-02-28,0.6357,0.5335
2013-04-30,0.6288,0.5613
2013-05-31,0.7374,0.5937
2013-06-28,0.7385,0.5698
2013-07-31,0.8868,0.6474
2013-08-30,0.8080,0.5959
2013-09-30,0.8961,0.6434
2013-10-31,1.0031,0.7166
2013-11-29,1.1043,0.7648
2013-12-31,1.1761,0.8064
2014-01-31,1.1163,0.7421
2014-02-28,1.2190,0.8172
2014-03-31,1.3036,0.8298
2014-04-30,1.2963,0.8412
2014-05-30,1.3351,0.8799
2014-06-30,1.4290,0.9157
2014-07-31,1.3465,0.8868
2014-08-29,1.4672,0.9579
2014-09-30,1.3752,0.9275
2014-10-31,1.4449,0.9722
2014-11-28,1.4997,1.0206
2014-12-31,1.5415,1.0121
2015-01-30,1.4722,0.9497
2015-02-27,1.6077,1.0567
2015-03-31,1.5968,1.0209
2015-04-30,1.5573,1.0381
2015-05-29,1.6578,1.0595
2015-06-30,1.6493,1.0162
2015-07-31,1.6850,1.0561
2015-08-31,1.5311,0.9274
2015-09-30,1.5024,0.8764
2015-10-30,1.6741,1.0321
2015-11-30,1.7541,1.0332
2015-12-31,1.6384,0.9973
2016-01-29,1.4702,0.8958
2016-02-29,1.5058,0.8876
2016-03-31,1.6829,1.0118
2016-04-29,1.6828,1.0170
2016-05-31,1.7495,1.0477
2016-06-30,1.8021,1.0491
2016-07-29,1.9326,1.1217
2016-08-31,1.9196,1.1187
2016-09-30,1.9742,1.1157
2016-10-31,1.9194,1.0741
2016-11-30,2.2608,1.1448
2016-12-30,2.3206,1.1832
2017-01-31,2.3960,1.2214
2017-02-28,2.5344,1.3031
2017-03-31,2.5074,1.3015
2017-04-28,2.5010,1.3213
2017-05-31,2.4886,1.3468
2017-06-30,2.5631,1.3567
2017-07-31,2.6815,1.4006
2017-08-31,2.5840,1.3998
2017-09-29,2.7576,1.4439
2017-10-31,2.8855,1.4960
2017-11-30,3.0602,1.5641
2017-12-29,3.0664,1.5870
2018-01-31,3.1572,1.7292
2018-02-28,2.9773,1.6199
2018-04-30,3.0234,1.6233
2018-05-31,3.1107,1.6764
2018-06-29,3.0639,1.6856
2018-07-31,3.1692,1.7780
2018-08-31,3.2420,1.8576
2018-09-28,3.2034,1.8656
2018-10-31,2.8892,1.6613
2018-11-30,2.9199,1.7040
2018-12-31,2.5258,1.4505
2019-01-31,2.7994,1.6381
2019-02-28,2.9347,1.7118
2019-03-29,2.8598,1.7553
2019-04-30,3.0471,1.8578
2019-05-31,2.7444,1.6638
2019-06-28,3.0837,1.8426
2019-07-31,3.1167,1.8745
2019-08-30,2.8970,1.8179
2019-09-30,3.0702,1.8613
2019-10-31,3.0900,1.9152
2019-11-29,3.2027,2.0109
2019-12-31,3.2763,2.0928
2020-01-31,3.1296,2.0837
2020-02-28,2.7124,1.8207
2020-03-31,1.8303,1.4641
2020-04-30,2.2466,1.7766
2020-05-29,2.4202,1.9021
2020-06-30,2.4839,1.9552
2020-07-31,2.6231,2.1177
2020-08-31,2.7556,2.3358
2020-09-30,2.6676,2.2046
2020-10-30,2.7161,2.1157
2020-11-30,3.2476,2.4504
2020-12-31,3.4220,2.5782
2021-01-29,3.5765,2.5379
2021-02-26,4.0776,2.6303
2021-03-31,4.5215,2.7843
2021-04-30,4.8033,2.9827
2021-06-30,4.5631,3.0712
2021-07-30,4.5338,3.1638
2021-08-31,4.7354,3.2845
2021-09-30,4.5467,3.0807
2021-10-29,4.7980,3.3628
2021-11-30,4.6125,3.3265
2021-12-31,4.8370,3.5147
2022-01-31,4.9325,3.2773
2022-02-28,5.1105,3.1432
2022-03-31,5.3969,3.2910
2022-04-29,5.1582,2.9131
2022-05-31,5.5698,2.9122
2022-06-30,4.6993,2.5815
2022-07-29,5.1019,2.9050
2022-08-31,5.1328,2.7318
2022-09-30,4.6247,2.3762
2022-10-31,5.3923,2.6381
2022-11-30,5.6582,2.8231
2022-12-30,5.2788,2.5850
2023-01-31,5.7104,2.7939
2023-02-28,5.6087,2.6819
2023-03-31,5.3845,2.7977
2023-04-28,5.2660,2.8400
2023-05-31,5.1534,2.8357
2023-06-30,5.8045,3.0687
2023-07-31,6.1557,3.1770
2023-08-31,5.8689,3.0842
2023-09-29,5.6444,2.8677
2023-10-31,5.2648,2.7645
2023-11-30,5.8187,3.0837
2023-12-29,6.2139,3.2467
