t1,Portfolio,Benchmark
2010-02-26,0.0555,0.0285
2010-03-31,0.1265,0.0889
2010-04-30,0.0973,0.1048
2010-06-30,0.0322,0.0452
2010-07-30,0.0280,0.1170
2010-08-31,0.0161,0.0639
2010-09-30,0.0881,0.1569
2010-10-29,0.1121,0.1994
2010-11-30,0.1283,0.1966
2010-12-31,0.2014,0.2746
2011-01-31,0.1757,0.3033
2011-02-28,0.2108,0.3448
2011-03-31,0.2637,0.3433
2011-04-29,0.3051,0.3816
2011-05-31,0.3084,0.3629
2011-06-30,0.2716,0.3380
2011-07-29,0.1945,0.3093
2011-08-31,0.1016,0.2348
2011-09-30,0.0058,0.1462
2011-10-31,0.1051,0.2697
2011-11-30,0.1113,0.2633
2011-12-30,0.0903,0.2740
2012-01-31,0.0484,0.3296
2012-02-29,0.0730,0.3835
2012-03-30,0.1161,0.4269
2012-04-30,0.0718,0.4162
2012-05-31,0.0015,0.3273
2012-06-29,0.0367,0.3798
2012-07-31,0.0386,0.3972
2012-08-31,0.0902,0.4247
2012-09-28,0.1380,0.4591
2012-10-31,0.1347,0.4300
2012-11-30,0.1524,0.4340
2012-12-31,0.2014,0.4440
2013-01-31,0.2826,0.5168
2013-02-28,0.3342,0.5335
2013-04-30,0.3608,0.5613
2013-05-31,0.4466,0.5937
2013-06-28,0.4057,0.5698
2013-07-31,0.4737,0.6474
2013-08-30,0.4268,0.5959
2013-09-30,0.4941,0.6434
2013-10-31,0.5769,0.7166
2013-11-29,0.6422,0.7648
2013-12-31,0.6592,0.8064
2014-01-31,0.5427,0.7421
2014-02-28,0.5993,0.8172
2014-03-31,0.6350,0.8298
2014-04-30,0.6244,0.8412
2014-05-30,0.6481,0.8799
2014-06-30,0.7036,0.9157
2014-07-31,0.6641,0.8868
2014-08-29,0.7421,0.9579
2014-09-30,0.7102,0.9275
2014-10-31,0.7580,0.9722
2014-11-28,0.8365,1.0206
2014-12-31,0.8327,1.0121
2015-01-30,0.7265,0.9497
2015-02-27,0.7811,1.0567
2015-03-31,0.7290,1.0209
2015-04-30,0.6793,1.0381
2015-05-29,0.7200,1.0595
2015-06-30,0.6860,1.0162
2015-07-31,0.6809,1.0561
2015-08-31,0.5946,0.9274
2015-09-30,0.5714,0.8764
2015-10-30,0.6597,1.0321
2015-11-30,0.7047,1.0332
2015-12-31,0.6805,0.9973
2016-01-29,0.5675,0.8958
2016-02-29,0.5975,0.8876
2016-03-31,0.7197,1.0118
2016-04-29,0.7085,1.0170
2016-05-31,0.8875,1.0477
2016-06-30,0.9091,1.0491
2016-07-29,1.0395,1.1217
2016-08-31,1.0766,1.1187
2016-09-30,1.1674,1.1157
2016-10-31,1.1515,1.0741
2016-11-30,1.4183,1.1448
2016-12-30,1.4531,1.1832
2017-01-31,1.4982,1.2214
2017-02-28,1.5775,1.3031
2017-03-31,1.5114,1.3015
2017-04-28,1.5079,1.3213
2017-05-31,1.4963,1.3468
2017-06-30,1.5358,1.3567
2017-07-31,1.5776,1.4006
2017-08-31,1.5256,1.3998
2017-09-29,1.6514,1.4439
2017-10-31,1.7316,1.4960
2017-11-30,1.8473,1.5641
2017-12-29,1.8058,1.5870
2018-01-31,1.8302,1.7292
2018-02-28,1.6808,1.6199
2018-04-30,1.7122,1.6233
2018-05-31,1.8000,1.6764
2018-06-29,1.7363,1.6856
2018-07-31,1.7836,1.7780
2018-08-31,1.8261,1.8576
2018-09-28,1.7182,1.8656
2018-10-31,1.5460,1.6613
2018-11-30,1.6414,1.7040
2018-12-31,1.4247,1.4505
2019-01-31,1.5316,1.6381
2019-02-28,1.6257,1.7118
2019-03-29,1.5375,1.7553
2019-04-30,1.6341,1.8578
2019-05-31,1.5210,1.6638
2019-06-28,1.7248,1.8426
2019-07-31,1.7154,1.8745
2019-08-30,1.6091,1.8179
2019-09-30,1.7911,1.8613
2019-10-31,1.7642,1.9152
2019-11-29,1.7991,2.0109
2019-12-31,1.8066,2.0928
2020-01-31,1.7556,2.0837
2020-02-28,1.4838,1.8207
2020-03-31,0.9699,1.4641
2020-04-30,1.1387,1.7766
2020-05-29,1.2210,1.9021
2020-06-30,1.2283,1.9552
2020-07-31,1.2531,2.1177
2020-08-31,1.3204,2.3358
2020-09-30,1.2720,2.2046
2020-10-30,1.2675,2.1157
2020-11-30,1.5914,2.4504
2020-12-31,1.6953,2.5782
2021-01-29,1.8081,2.5379
2021-02-26,2.1753,2.6303
2021-03-31,2.4419,2.7843
2021-04-30,2.6132,2.9827
2021-06-30,2.5034,3.0712
2021-07-30,2.6056,3.1638
2021-08-31,2.6651,3.2845
2021-09-30,2.5874,3.0807
2021-10-29,2.6539,3.3628
2021-11-30,2.5372,3.3265
2021-12-31,2.7024,3.5147
2022-01-31,2.8087,3.2773
2022-02-28,2.8836,3.1432
2022-03-31,3.1578,3.2910
2022-04-29,3.0200,2.9131
2022-05-31,3.1390,2.9122
2022-06-30,2.6979,2.5815
2022-07-29,2.8919,2.9050
2022-08-31,2.8397,2.7318
2022-09-30,2.5700,2.3762
2022-10-31,2.9920,2.6381
2022-11-30,2.9594,2.8231
2022-12-30,2.8018,2.5850
2023-01-31,3.0404,2.7939
2023-02-28,3.1263,2.6819
2023-03-31,3.2676,2.7977
2023-04-28,3.2408,2.8400
2023-05-31,3.2441,2.8357
2023-06-30,3.5906,3.0687
2023-07-31,3.8761,3.1770
2023-08-31,3.7533,3.0842
2023-09-29,3.7232,2.8677
2023-10-31,3.5549,2.7645
2023-11-30,3.8568,3.0837
2023-12-29,4.0849,3.2467
