t1,Portfolio,Benchmark
2010-02-26,0.0545,0.0285
2010-03-31,0.1101,0.0889
2010-04-30,0.1473,0.1048
2010-06-30,0.1154,0.0452
2010-07-30,0.1732,0.1170
2010-08-31,0.1029,0.0639
2010-09-30,0.1899,0.1569
2010-10-29,0.1997,0.1994
2010-11-30,0.2069,0.1966
2010-12-31,0.2839,0.2746
2011-01-31,0.3022,0.3033
2011-02-28,0.3562,0.3448
2011-03-31,0.3837,0.3433
2011-04-29,0.4231,0.3816
2011-05-31,0.4535,0.3629
2011-06-30,0.4303,0.3380
2011-07-29,0.3761,0.3093
2011-08-31,0.3495,0.2348
2011-09-30,0.2296,0.1462
2011-10-31,0.3799,0.2697
2011-11-30,0.3703,0.2633
2011-12-30,0.3373,0.2740
2012-01-31,0.4191,0.3296
2012-02-29,0.4762,0.3835
2012-03-30,0.5090,0.4269
2012-04-30,0.5264,0.4162
2012-05-31,0.4270,0.3273
2012-06-29,0.4673,0.3798
2012-07-31,0.4206,0.3972
2012-08-31,0.4878,0.4247
2012-09-28,0.5627,0.4591
2012-10-31,0.5909,0.4300
2012-11-30,0.6144,0.4340
2012-12-31,0.6160,0.4440
2013-01-31,0.7049,0.5168
2013-02-28,0.7271,0.5335
2013-04-30,0.6969,0.5613
2013-05-31,0.7363,0.5937
2013-06-28,0.7288,0.5698
2013-07-31,0.8141,0.6474
2013-08-30,0.7607,0.5959
2013-09-30,0.8291,0.6434
2013-10-31,0.8713,0.7166
2013-11-29,0.9257,0.7648
2013-12-31,0.9884,0.8064
2014-01-31,0.9153,0.7421
2014-02-28,0.9813,0.8172
2014-03-31,1.0042,0.8298
2014-04-30,0.9772,0.8412
2014-05-30,1.0870,0.8799
2014-06-30,1.1022,0.9157
2014-07-31,1.0541,0.8868
2014-08-29,1.1409,0.9579
2014-09-30,1.1153,0.9275
2014-10-31,1.2128,0.9722
2014-11-28,1.2873,1.0206
2014-12-31,1.3400,1.0121
2015-01-30,1.2999,0.9497
2015-02-27,1.4459,1.0567
2015-03-31,1.4352,1.0209
2015-04-30,1.4489,1.0381
2015-05-29,1.4935,1.0595
2015-06-30,1.4457,1.0162
2015-07-31,1.5344,1.0561
2015-08-31,1.4416,0.9274
2015-09-30,1.4118,0.8764
2015-10-30,1.5492,1.0321
2015-11-30,1.5287,1.0332
2015-12-31,1.4859,0.9973
2016-01-29,1.4197,0.8958
2016-02-29,1.4562,0.8876
2016-03-31,1.5946,1.0118
2016-04-29,1.6257,1.0170
2016-05-31,1.7918,1.0477
2016-06-30,1.8123,1.0491
2016-07-29,1.9071,1.1217
2016-08-31,1.9078,1.1187
2016-09-30,1.9127,1.1157
2016-10-31,1.8054,1.0741
2016-11-30,1.8704,1.1448
2016-12-30,1.9110,1.1832
2017-01-31,1.9799,1.2214
2017-02-28,2.0760,1.3031
2017-03-31,2.0570,1.3015
2017-04-28,2.0861,1.3213
2017-05-31,2.1347,1.3468
2017-06-30,2.2007,1.3567
2017-07-31,2.2193,1.4006
2017-08-31,2.2074,1.3998
2017-09-29,2.2478,1.4439
2017-10-31,2.3322,1.4960
2017-11-30,2.5569,1.5641
2017-12-29,2.5565,1.5870
2018-01-31,2.5805,1.7292
2018-02-28,2.4714,1.6199
2018-04-30,2.3907,1.6233
2018-05-31,2.4473,1.6764
2018-06-29,2.4809,1.6856
2018-07-31,2.5933,1.7780
2018-08-31,2.7245,1.8576
2018-09-28,2.7247,1.8656
2018-10-31,2.6087,1.6613
2018-11-30,2.8275,1.7040
2018-12-31,2.5943,1.4505
2019-01-31,2.8563,1.6381
2019-02-28,2.9451,1.7118
2019-03-29,3.0475,1.7553
2019-04-30,3.2101,1.8578
2019-05-31,3.0852,1.6638
2019-06-28,3.3349,1.8426
2019-07-31,3.3516,1.8745
2019-08-30,3.4108,1.8179
2019-09-30,3.4830,1.8613
2019-10-31,3.5411,1.9152
2019-11-29,3.6447,2.0109
2019-12-31,3.7056,2.0928
2020-01-31,3.9219,2.0837
2020-02-28,3.6463,1.8207
2020-03-31,2.9927,1.4641
2020-04-30,3.3209,1.7766
2020-05-29,3.5780,1.9021
2020-06-30,3.5909,1.9552
2020-07-31,3.9230,2.1177
2020-08-31,4.0548,2.3358
2020-09-30,3.9298,2.2046
2020-10-30,3.9091,2.1157
2020-11-30,4.1632,2.4504
2020-12-31,4.2818,2.5782
2021-01-29,4.2332,2.5379
2021-02-26,4.1996,2.6303
2021-03-31,4.4149,2.7843
2021-04-30,4.6391,2.9827
2021-06-30,4.6440,3.0712
2021-07-30,4.8462,3.1638
2021-08-31,4.8187,3.2845
2021-09-30,4.5774,3.0807
2021-10-29,4.9475,3.3628
2021-11-30,4.7912,3.3265
2021-12-31,5.0026,3.5147
2022-01-31,4.8820,3.2773
2022-02-28,4.7605,3.1432
2022-03-31,4.8964,3.2910
2022-04-29,4.5949,2.9131
2022-05-31,4.7161,2.9122
2022-06-30,4.4258,2.5815
2022-07-29,5.0455,2.9050
2022-08-31,4.8214,2.7318
2022-09-30,4.4097,2.3762
2022-10-31,4.6444,2.6381
2022-11-30,5.0430,2.8231
2022-12-30,4.8386,2.5850
2023-01-31,4.8873,2.7939
2023-02-28,4.7815,2.6819
2023-03-31,4.9728,2.7977
2023-04-28,5.1189,2.8400
2023-05-31,4.9785,2.8357
2023-06-30,5.2110,3.0687
2023-07-31,5.3937,3.1770
2023-08-31,5.1436,3.0842
2023-09-29,4.7649,2.8677
2023-10-31,4.7373,2.7645
2023-11-30,5.3620,3.0837
2023-12-29,5.7136,3.2467
