t1,Portfolio,Benchmark
2010-02-26,0.0371,0.0285
2010-03-31,0.1119,0.0889
2010-04-30,0.1756,0.1048
2010-06-30,0.1496,0.0452
2010-07-30,0.2190,0.1170
2010-08-31,0.1366,0.0639
2010-09-30,0.2370,0.1569
2010-10-29,0.2486,0.1994
2010-11-30,0.2594,0.1966
2010-12-31,0.3398,0.2746
2011-01-31,0.3716,0.3033
2011-02-28,0.4313,0.3448
2011-03-31,0.4664,0.3433
2011-04-29,0.5060,0.3816
2011-05-31,0.4809,0.3629
2011-06-30,0.4622,0.3380
2011-07-29,0.4123,0.3093
2011-08-31,0.3890,0.2348
2011-09-30,0.2826,0.1462
2011-10-31,0.4239,0.2697
2011-11-30,0.4320,0.2633
2011-12-30,0.3985,0.2740
2012-01-31,0.4845,0.3296
2012-02-29,0.5219,0.3835
2012-03-30,0.5552,0.4269
2012-04-30,0.5776,0.4162
2012-05-31,0.4512,0.3273
2012-06-29,0.4964,0.3798
2012-07-31,0.4337,0.3972
2012-08-31,0.5000,0.4247
2012-09-28,0.5901,0.4591
2012-10-31,0.6052,0.4300
2012-11-30,0.6168,0.4340
2012-12-31,0.6097,0.4440
2013-01-31,0.7061,0.5168
2013-02-28,0.7139,0.5335
2013-04-30,0.6874,0.5613
2013-05-31,0.7066,0.5937
2013-06-28,0.7027,0.5698
2013-07-31,0.7852,0.6474
2013-08-30,0.7365,0.5959
2013-09-30,0.8020,0.6434
2013-10-31,0.8480,0.7166
2013-11-29,0.9114,0.7648
2013-12-31,0.9696,0.8064
2014-01-31,0.9029,0.7421
2014-02-28,0.9719,0.8172
2014-03-31,0.9970,0.8298
2014-04-30,0.9645,0.8412
2014-05-30,1.0984,0.8799
2014-06-30,1.1071,0.9157
2014-07-31,1.0439,0.8868
2014-08-29,1.1311,0.9579
2014-09-30,1.1143,0.9275
2014-10-31,1.2047,0.9722
2014-11-28,1.2844,1.0206
2014-12-31,1.3432,1.0121
2015-01-30,1.2974,0.9497
2015-02-27,1.4453,1.0567
2015-03-31,1.4628,1.0209
2015-04-30,1.4763,1.0381
2015-05-29,1.5279,1.0595
2015-06-30,1.4813,1.0162
2015-07-31,1.5716,1.0561
2015-08-31,1.4763,0.9274
2015-09-30,1.4634,0.8764
2015-10-30,1.5902,1.0321
2015-11-30,1.5538,1.0332
2015-12-31,1.5102,0.9973
2016-01-29,1.4765,0.8958
2016-02-29,1.4762,0.8876
2016-03-31,1.6153,1.0118
2016-04-29,1.6412,1.0170
2016-05-31,1.7912,1.0477
2016-06-30,1.8150,1.0491
2016-07-29,1.9160,1.1217
2016-08-31,1.9042,1.1187
2016-09-30,1.9145,1.1157
2016-10-31,1.8095,1.0741
2016-11-30,1.8339,1.1448
2016-12-30,1.8752,1.1832
2017-01-31,1.9468,1.2214
2017-02-28,2.0409,1.3031
2017-03-31,2.0283,1.3015
2017-04-28,2.0568,1.3213
2017-05-31,2.1023,1.3468
2017-06-30,2.1691,1.3567
2017-07-31,2.1922,1.4006
2017-08-31,2.1819,1.3998
2017-09-29,2.2061,1.4439
2017-10-31,2.2935,1.4960
2017-11-30,2.5582,1.5641
2017-12-29,2.5684,1.5870
2018-01-31,2.6301,1.7292
2018-02-28,2.5350,1.6199
2018-04-30,2.4465,1.6233
2018-05-31,2.4968,1.6764
2018-06-29,2.5241,1.6856
2018-07-31,2.6515,1.7780
2018-08-31,2.7990,1.8576
2018-09-28,2.7977,1.8656
2018-10-31,2.6468,1.6613
2018-11-30,2.8610,1.7040
2018-12-31,2.6271,1.4505
2019-01-31,2.8959,1.6381
2019-02-28,2.9917,1.7118
2019-03-29,3.0854,1.7553
2019-04-30,3.2466,1.8578
2019-05-31,3.1097,1.6638
2019-06-28,3.3580,1.8426
2019-07-31,3.3687,1.8745
2019-08-30,3.4101,1.8179
2019-09-30,3.4533,1.8613
2019-10-31,3.5102,1.9152
2019-11-29,3.6733,2.0109
2019-12-31,3.7316,2.0928
2020-01-31,3.9889,2.0837
2020-02-28,3.7184,1.8207
2020-03-31,3.0521,1.4641
2020-04-30,3.3589,1.7766
2020-05-29,3.6245,1.9021
2020-06-30,3.6493,1.9552
2020-07-31,3.9905,2.1177
2020-08-31,4.1101,2.3358
2020-09-30,3.9685,2.2046
2020-10-30,3.9293,2.1157
2020-11-30,4.1410,2.4504
2020-12-31,4.2612,2.5782
2021-01-29,4.4233,2.5379
2021-02-26,4.3067,2.6303
2021-03-31,4.4919,2.7843
2021-04-30,4.7074,2.9827
2021-06-30,4.7131,3.0712
2021-07-30,4.9334,3.1638
2021-08-31,4.9153,3.2845
2021-09-30,4.6489,3.0807
2021-10-29,5.0615,3.3628
2021-11-30,4.8054,3.3265
2021-12-31,5.0074,3.5147
2022-01-31,4.8865,3.2773
2022-02-28,4.7761,3.1432
2022-03-31,4.9064,3.2910
2022-04-29,4.5500,2.9131
2022-05-31,4.6518,2.9122
2022-06-30,4.4010,2.5815
2022-07-29,5.0543,2.9050
2022-08-31,4.7841,2.7318
2022-09-30,4.3799,2.3762
2022-10-31,4.6241,2.6381
2022-11-30,4.9265,2.8231
2022-12-30,4.7267,2.5850
2023-01-31,4.6924,2.7939
2023-02-28,4.5798,2.6819
2023-03-31,4.8160,2.7977
2023-04-28,4.9721,2.8400
2023-05-31,4.8447,2.8357
2023-06-30,5.0778,3.0687
2023-07-31,5.2088,3.1770
2023-08-31,4.9953,3.0842
2023-09-29,4.6050,2.8677
2023-10-31,4.5941,2.7645
2023-11-30,5.1750,3.0837
2023-12-29,5.5141,3.2467
