rf,year,month,sp_ret,t1,t1_index
0.0041,2000,1,-0.050904,2000-01-31,2000-01-03
0.0043,2000,2,-0.020108,2000-02-29,2000-02-01
0.0047,2000,3,0.09672,2000-03-31,2000-03-01
0.0046,2000,4,-0.030796,2000-04-28,2000-04-03
0.005,2000,5,-0.021915,2000-05-31,2000-05-01
0.004,2000,6,0.023934,2000-06-30,2000-06-01
0.0048,2000,7,-0.016341,2000-07-31,2000-07-03
0.005,2000,8,0.060699,2000-08-31,2000-08-01
0.0051,2000,9,-0.053483,2000-09-29,2000-09-01
0.0056,2000,10,-0.004949,2000-10-31,2000-10-02
0.0051,2000,11,-0.080069,2000-11-30,2000-11-01
0.005,2000,12,0.004053,2000-12-29,2000-12-01
0.0054,2001,1,0.034637,2001-01-31,2001-01-01
0.0038,2001,2,-0.092291,2001-02-28,2001-02-01
0.0042,2001,3,-0.064205,2001-03-30,2001-03-01
0.0039,2001,4,0.076814,2001-04-30,2001-04-02
0.0032,2001,5,0.00509,2001-05-31,2001-05-01
0.0028,2001,6,-0.025004,2001-06-29,2001-06-01
0.003,2001,7,-0.010772,2001-07-31,2001-07-02
0.0031,2001,8,-0.064108,2001-08-31,2001-08-01
0.0028,2001,9,-0.081723,2001-09-28,2001-09-03
0.0022,2001,10,0.018099,2001-10-31,2001-10-01
0.0017,2001,11,0.075176,2001-11-30,2001-11-01
0.0015,2001,12,0.007574,2001-12-31,2001-12-03
0.0014,2002,1,-0.015574,2002-01-31,2002-01-01
0.0013,2002,2,-0.020766,2002-02-28,2002-02-01
0.0013,2002,3,0.036739,2002-03-29,2002-03-01
0.0015,2002,4,-0.061418,2002-04-30,2002-04-01
0.0014,2002,5,-0.009081,2002-05-31,2002-05-01
0.0013,2002,6,-0.072465,2002-06-28,2002-06-03
0.0015,2002,7,-0.078995,2002-07-31,2002-07-01
0.0014,2002,8,0.004881,2002-08-30,2002-08-01
0.0014,2002,9,-0.110013,2002-09-30,2002-09-02
0.0014,2002,10,0.086436,2002-10-31,2002-10-01
0.0012,2002,11,0.05707,2002-11-29,2002-11-01
0.0011,2002,12,-0.060333,2002-12-31,2002-12-02
0.001,2003,1,-0.027415,2003-01-31,2003-01-01
0.0009,2003,2,-0.017004,2003-02-28,2003-02-03
