RF,year,month,sp_ret
0.00410,2000,1,-0.050904
0.00430,2000,2,-0.020108
0.00470,2000,3,0.096720
0.00460,2000,4,-0.030796
0.00500,2000,5,-0.021915
0.00400,2000,6,0.023934
0.00480,2000,7,-0.016341
0.00500,2000,8,0.060699
0.00510,2000,9,-0.053483
0.00560,2000,10,-0.004949
0.00510,2000,11,-0.080069
0.00500,2000,12,0.004053
0.00540,2001,1,0.034637
0.00380,2001,2,-0.092291
0.00420,2001,3,-0.064205
0.00390,2001,4,0.076814
0.00320,2001,5,0.005090
0.00280,2001,6,-0.025004
0.00300,2001,7,-0.010772
0.00310,2001,8,-0.064108
0.00280,2001,9,-0.081723
0.00220,2001,10,0.018099
0.00170,2001,11,0.075176
0.00150,2001,12,0.007574
0.00140,2002,1,-0.015574
0.00130,2002,2,-0.020766
0.00130,2002,3,0.036739
0.00150,2002,4,-0.061418
0.00140,2002,5,-0.009081
0.00130,2002,6,-0.072465
0.00150,2002,7,-0.078995
0.00140,2002,8,0.004881
0.00140,2002,9,-0.110013
0.00140,2002,10,0.086436
0.00120,2002,11,0.057070
0.00110,2002,12,-0.060333
0.00100,2003,1,-0.027415
0.00090,2003,2,-0.017004
0.00100,2003,3,0.008358
0.00100,2003,4,0.081044
0.00090,2003,5,0.050899
0.00100,2003,6,0.011322
0.00070,2003,7,0.016224
0.00070,2003,8,0.017873
0.00080,2003,9,-0.011944
0.00070,2003,10,0.054962
0.00070,2003,11,0.007129
0.00080,2003,12,0.050765
0.00070,2004,1,0.017276
0.00060,2004,2,0.012209
0.00090,2004,3,-0.016359
0.00080,2004,4,-0.016791
0.00060,2004,5,0.012083
0.00080,2004,6,0.017989
0.00100,2004,7,-0.034291
0.00110,2004,8,0.002287
0.00110,2004,9,0.009364
0.00110,2004,10,0.014014
0.00150,2004,11,0.038595
0.00160,2004,12,0.032458
0.00160,2005,1,-0.025290
0.00160,2005,2,0.018903
0.00210,2005,3,-0.019118
0.00210,2005,4,-0.020109
0.00240,2005,5,0.029952
0.00230,2005,6,-0.000143
0.00240,2005,7,0.035968
0.00300,2005,8,-0.011222
